Wehrmacht	ver-mákt
Bretagne	brötány
Brétigny	bretini
Brett Kavanaugh	bret kevenó
Breyer	brejer
Brian	brájen
Brian Zellerre	brájen zellerre
Briare	brijen
Bridges	bridzsisz
Brigetio	brigettió
Brigham	brigöm
Brighton	brájton
Brimstone	brim-sztón
Brin	brin
Britannia	brita-nnia
Britannicus	britan-nikusz
Britches	bricsiz
Britney Spearsnél	britni szpírsznél
Brno	brünó
Broadhurst	bródhurszt
Broadwayn	brodvéjn
Broadwayre	brodvéjre
Brokiánus Ultra	brokijánusz ul-tra
Broncóból	bronkóból
Bronstein	bron-stejn
Brontitall	brontitál
Brooklynban	brúklinban
Brooklynt	brúklint
Broop	brúp
Brown	bráun
Bruce	brúsz
Bruce Reed	brúsz ríd
Bruce White	brúsz vájt
Brudern	brúdern
Brugge	brűzs
Bruggébe	böröhébe
Brunanburgh	brünnen-börg
Brundisium	brundízijum
Bruneval	brün-vál
Brunevalnál	brúnválnál
Bruno	brúnó
Brunswick	brunszvikk
Brushy Mountain	brási mántön
Brutus	brútusz
Brzezinka	brzsezinka
Bubba	bub-ba
Bucher	buh-her
Buck	bákk
Buckeye	bákk-áj
Bückling	bükling
Buda-Cash	budakesh
Budd	bádd
Buddairól	báddájról
BUDDY	bádi
Budy	bádi
Buenos Aires	buenosz ájresz
Buenos Airesben	buenosz ájreszben
Buenos Airesi	buenosz ájreszi
Buff	báff
Buffallo	báffáló
Buffallo Bill	báffáló bill
Buffalo	báffáló
BUFFALO BILL	báffáló bill
Buffett	báfett
Bukarestet	bukar-estet
Bukephaleiát	bukefáliját
Bulla	bul-la
Bülow	büló
Bumm	búm
Bundesbank	bundeszbank
Bundesgesetz	bundesz-gezetc
Bundeswehr	bundesz-ver
Bunea	búnea
Bunker	bun-ker
Bunsen	bunzen
Burbank	börbenk
Bureau	büró
Burg	burrg
Burgyenko	burgyenkó
Burma	bur-ma
Burroughs	báróz
Burrus	burrusz
Burt Ovrut	bört óvröt
Busbeck	bushbekk
Bush	bush
Bushel	büshel
Business School	biznisz szkúl
Bustamonte	básztömont
Butler	bátlör
Byrd	bird
Byrnes	bernsz
Byron	bájron
Byrsnek	birsznek
Bzura	bzúra
Cabo	kábó
Cadillac	kedilek
Cádizban	kádisz
Cadogan	kádogen
Caecus	tcekusz
Caelius	tcélijusz
Caen	kájen
Caere	kájere
Caesar	tcézár
Caesarért	cézárért
Caesareum	tcézáreum
Caesariont	tcézárijont
Caesarnak	tcézárnak
Caesarok	tcézárok
Caesarra	tcézárra
Caesart Aemilius Lepidust	tcézárt émilijusz lepiduszt
Caesarum	tcézárijum
Caetani	káetáni
Caggiano	káddzsánó
Cagliari	kájjári
Cagliostro	káj-josztró
Cagney	kéjni
Caius	kájjusz
Calabi	kálábi
Calais	kálé
Calaistól Terschellingig	kálétól tersellingig
Calaveras	kálávérász
Caldwell	káldvel
California	kalifornia
Californiá	kalifornijá
California Academy	kalifornia ekedömi
Caligula	kaligula
Caligulához	kaligulához
Caligulát	kaligulát
Callgo	kólgöü
Callie	kállie
Calonne	kálonn
Calpurnia	kalpurnia
Calpurniát	kálp-urniját
Caludius	klaudijusz
Calumet	kálimet
Camarrók	kámárrók
Cambrai	kembréj
Cambridge	kémbridzs
Camegie	kárnegi
Cameron	kemeron
Camicion	kámicsón
Camillo Benso	Kámilló benszó
Camillus	kámílijusz
Camorin	kámorin
Camp David	kemp dévid
Campaign	kempéjn
Campanas	kámpánász
Campania	kámpánijá
Campaniát	kámpániját
Campbeltown	kemböltáun
Camphausent	kámphauzent
Campus	kámpusz
Campus Martius	kámpusz mártsiusz
Camus	kámű
Canada	kanada
Canahuati	kánáhuáti
CAN-AM TOURS	kenem túrsz
Candelas	kándelász
Cannae	káné
Cannes Lions	kánn lájonsz
Cannibalismo	kánibálizmó
Canning	kening
Canossa	kanossza
Canossába	kanosszába
Canterbury	kenterbörri
Canterburyi	kenterböri
Cantonban	kantonban
Cape Canaveral	kép keneveröl
Capeting	kápeting
Capistrano	kápisztránó
Capitol Hill	kepitöl hill
Capitolinus	kapitólinusz
Capitolium	kapitólium
Capote	kápóte
Capponi	káppóni
Capranicá	káprániká
Caprara	káprárá
Caprarára	káprárára
Capreae	kápreé
Caprivi	káprivi
Capua	kápua
Capuával	kápuával
Capuzzo	kápuddzó
Capuzzóba	kápuddzóba
Capuzzót	kápuddzót
Caracalla	kárkállá
Carefreeben	kerfríben
Carentan	kárentán
Cargrad	kárgrád
Cargradnak	kárgrádnak
Carl Sagan	kárl szégán
Carl Schirmer	kárl sirmer
Carleton	kárl-ton
Carleton Simon	kárlton szájmon
Carlington-Housney	kárlington háuszni
Carlinóé	kárlijóné
Carlo	kárló
Carlo Theti	kárló tetti
Carlos	kárlosz
Carlstadt	kárl-shtátt
Carlton Klubban	kárlton klubban
Carmel	kármel
Carmenek	kármenek
Carmina Buranát	kármina buránát
Carnegic	kárnegi
Carnegie	kárnegi
Carner	kárner
Carnot	kárnó
Carnuntumban	kárnuntumban
Caroberto	károbertó
Caroline Michahelles	kerölájn májköhelz
Carranza	kárándzá
Carranzának	kárándzának
Carrhae	kárráé
Carrie Wong	kerri vong
Carrol	kerol
Carroll	kerol
Carta	karta
Carter	kárter
Carterből Edmund Carter	kárterből ed-mund kárter
Cartert	kártert
Carthago	kartágó
Carvajal	kárváhál
Carvin	kárvin
Carwardine	kárvödájn
Cary Phlox	keri floksz
Casa	kászá
Casa Facebook	kászá fészbúk
Casablanca	kasza-blanka
Casablancába	kaszablankába
Casablancában	kasza-blankában
Casablancát	kaszablankát
Casca	kászká
Cascianó	kászcsánó
Caserta	kászertá
Casey	készi
cash and carry	kesh end kerri
Casimir	kázimír
Cassiodorus	kásszijodórusz
Cassiopeia	kássziópejja
Cassius	kásszijusz
Cassius-Longinus	kássziusz-longiusz
Castaldónak	kásztáldónak
Castor	kásztor
Castróék	kasztróék
casus belli	kázusz belli
Catalina	kátáliná
Catalinát	kátálinát
Catania	kátánijá
Cataniából Messinába	kátánijából messzinába
Catarac Construction	katarakt konsztráksön
Cataract Construction	katarakt konsztráksön
Cateau	sháto
Catherine	ketrin
Cathuria	kátúrija
Cathuriá	kátúrijá
Catilina	kátilíná
Catlin	kétlin
Cato	kátó
Catroux	kátró
Catullus	kátullusz
Caudillót	káudíjjó
Caumantból Vire	kómánból vír
Cavaignac	kávennyák
Cavalcanti	káválkánti
Cavalier	káválijé
Cavallero	kávájjéró
Cavour	kávör
Caxter	kárter
CBS	szíbíesz
CCD	tcétcédé
CD	tcédé
CDC	szídíszí
CDD	szídídí
Cecey	cetzei
Cecilia	szeszília
Ceczey	cetzei
Celebrated Jumping Frog	szelöbréjtid dzsámping fróg
Celebrityt	szelebritit
Celemantia	klemencia
Celephais	celefájisz
Cellmark	szellmárk
Celsius	celziusz
Ceneriai	cenerija
Center	szentör
CENTO	centó
Central	szentröl
Central Hillen	szentröl hillen
Central Parkban	szentrál parkban
Centrum	cent-rum
Centurion	tcentúrijon
Centuripét	szencsöripét
Century	szencsöri
CEO	szí-í-ó
Cerenariai	cerennárijai
Ceres	tceresz
CERN	cern
Cesare	csezáre
Cesare Borgia	csezáre bordzsa
Cesarini	cézáríni
Cesaróba	csezáróba
CEU	tceu
Ceuta	szeuta
Ceutát	tzeutát
Ceylon	szejlon
Ceylonba	szejlonba
Ceylonból	szejlonból
Ceylonig	szejlonig
Ceylonról	szejlonról
CGT	cé-gé-té
Chaerea	káerrá
Chakrabarti	shákrá-bárti
Chalesm	sálezm
Chalus	kálusz
Chamath Palihapitiya	számat palihatpitijá
Chamberlain	csembörléjn
Chamleyval	csámlival
Champagne	sámpány
Champollion	sampolijon
Champs Élysées	shanzelizé
Champs-Elysées	sanz-elizé
Champs-Élysées	shanz elizé
Chan Zuckerberg Initiative	csán tcukkerberg inisötív
Chandra	csándrá
Chandrasekhar	csándrá-shekár
Chanel	sánel
Changarnier	shenzsönyijé
Change	cséndzs
Channel	csenöl
Charante	sárant
Charge Coupled	cséndzs kápöld
Charleroit	sárlroá
Charles	csársz
Charles Christopher Cholmondeley	csársz krisztofer csámndli
Charles Forbes	csársz fórbsz
Charles Frank	csársz frenk
Charles Tilly	csársz tilli
Charlie	csárli
Charlie Hebdo	csárli hebdó
Charlotte-Amalie	shárlott ámelí
Chartában	kartában
Chartaginem	kártágínem
Chartához	kartához
Chartának	kartának
Chartát	kartát
Chartával	kartával
Charter Streeten	cseszter sztríten
Chartwellbe	csártvellbe
Çhatal	csátál
Chateubriand	shátobijan
Chatfield	csetfíld
Chaucernek	csószernek
Chautemps	csótám
Chavin	sáven
Che Guevara	csegevara
Che Guevarát	csegevarát
Cheasapeake	cseszöpík
Chen	csen
Cheney Agency	cséjni édzsönszi
Chequers	csekörsz
Chequersbe Uxbridge	csekörszbe ákszbridzs
Chequersben	csekörszben
Cher	sher
Cherwel	cservel
Cherwell	cser-vell
Chester Wilmot	csesztör vilmot
Chesterfield	csesztörfíld
Chevaliers	seválijé
Chevrolet	sevrolé
Chevron	shevron
Chevy Chase	csevi csész
Chicago	csikágó
Chicagóban Freddy Loundsot	csikágóban fredi láundszot
Chicagóból	csikágóból
Chicagói	csikágói
Chicagónak	csikágónak
Chicagóval	csikágóval
Chichén Itzá	csicsén icá
Chiffriermaschinen Aktien-Gesselschaft	sifrírmásínen ákcijen gesszelsáft
Chile	csíle
Chilé	csílé
Chilét	csílét
Chilton	csilton
Chimel	kájmöl
China Mail	csájná méjl
Chinóba	csínóba
Chinon Pacific	csájnön peszifik
Chiswickben	csizvikben
Chlodwig Hohenlohe-Schillingsfürst	kodvig hóhnlóhe shilling-fürsht
Chlór	klór
Chlorusnak	klórusznak
Chmielnicki	hmelnyicki
Cholmondeley	csálm-li
Choltitz	koltitc
Choveve Cion	shovev tzión
Chrestos	kresztosz
Chris	krisz
Chris Llewellyn Smith	krisz levlin szmisz
Christchurch	krájszt-csörcs
Christian	krisztien
Christian Glutsch	krisztijen glucs
Christianae	krisztijen
Christofle	krisztofl
Christopher	kriszto-fer
Christopher Impey	krisztofer impej
Christopher Wren	krisztofer vren
Christus	krisztösz
Chronica Ungarorum	króniká ungárórum
Chuck Schumer	csákk shúmer
Chucknak	csáknak
Church	csörcs
Churchill	csörcsil
CIA	szí-ájéj
Ciano	csánó
Cianókra	csánókra
Cianónak	csánónak
Cianóval	csánóval
CIB	tcib
Cicatrine	csikátríne
Cicerónak	tcicerónak
Cicilline	sziszilájn
Cielt	szijelt
CIG	tcé-ígé
Ciklon	tciklon
Cilian Blake	szilijen blék
Cilicia	tcilicija
Cimabue	csimábúe
Cincar-Markovic	cincár márkovics
Cincinnati	szinszinetti
Cinkotai	tcinkotai
Cinnát	tcinnát
Cinzano	cincáró
Cion	tcion
Ciprus	tziprush
Ciprust	tciprust
Circle Courtra	szörkül kórtra
Circus Maximus	tcirkusz mákszimusz
Circus Maximusban	tsirkusz mákszimusz
Cirenaica	cirenájká
Cirenaicát	csirenájkát
Cirenci Simon	tcirentci shi-mon
Ciross	szájrösz
Cisalpin	szizelpán
Cisalpina	tciszpina
Cisalpinát	tciszálpinát
Cistercium	cisztercijum
Cité	szité
Citeaux	szitó
Citerior	tciterijor
Citibank	szitibank
City	sziti
Cityben	szitiben
Cjesku	kjeszku
Claire	kler
Clairvaux	klervő
Clan Fraser	klán frezsör
Clan Lamont	klán lámónt
Clara Gougct Guzman	klárá gógt gúzmen
Clare Gorstnak	kler górsztnak
Clarence Franks	klerensz frenksz
Clarendon	klerendön
Clarice	klerisz
CLARICE STARLING	klerisz sztárling
Clark	klárk
Clark Ashton Smith	klárk eston szmisz
Clark Kerr	klárk kör
Clauberg	klau-berg
Claude	klód
Claude-Henri	klód anri
Claudia	klaudia
Claudiában	klaudijában
Claudius Nerótól	kludijusz nérótól
Claudiusoknak	klaudijuszoknak
Claudiust	kllaudijuszt
Clausewitz	klózvic
Clayton	kléjton
Clegg	kleddzs
Clemenceau	klemenszó
Clemens	klemensz
Cleopatra	kleopátra
Clerk Maxwell	klerk mekszvell
Clermont	klermon
Clevelandben	klívlendben
Clifton James	klifton dzsémsz
Clint Pearsall	klint pörszell
Clinton	klinton
Cloaca Maxima	kloáka makszima
Clomidot	klomidot
Clunyt	klúnyit
Clusium	klúzium
Clyde	klájd
Clyde Cowan	klájd kóven
CN	szíen
Cnaeus	kneusz
CNBC	szíenbíszí
CNN	szíenen
Coahoma	koáhómá
Coase	kőüz
COBE	kobé
Coca	koka
Coca-Cola	koka kóla
Coca-Colá	koka kólá
Cocceius Nerva	kotcejjusz nervá
Cocceji	kocsedzsi
Cock	kokk
Cockaday	kákdéj
Cocles	koklesz
COCOM	kokom
Codreanu	kodreánu
Coen	ko-hen
Coeur de Lion	kőr dö lijón
Cohen	ko-en
Coke	kók
Cola	kóla
Colát	kólát
Colbert	kolbört
Cole Porter	kól por-ter
Coleman	kólmen
COLFER	kolfer
Coligny	kolinyi
Colin	kolin
Colin Stretch	kolin sztrecs
College	kálidzs
Collegium Germanicum	kollégium germánikum
Collegium Hungaricum	kollégium hungárikum
Collider	kolájdör
Colliers	kolijé
Collina	kollina
Collins	kolinsz
Colmarnál	kolmárnál
Colón	kolón
Colonna	kolonna
Colonnák	kolonnák
Color	kálör
Colorado	kolorádó
Colorado Springs	kolorádó szpringsz
Coloradóból	kolorádóból
Colosseumnak	kolosszeumnak
Colosseumot	kolosszeumot
Colt	kolt
Columba	kolumba
Columbia	kolumbija
Columbia College	kolumbia kálidzs
Columbus	kolombusz
Columella	kolumella
Coma	kóma
Coma Berenices	kóma beröníszisz
Comando	komándó
Comata	komátá
Combattimento	kombattimentó
Combattimentót	kombattimentót
Combined	kámbájnd
Come Back And Say	kám bek end széj
Comines	komin
Commando	kommándó
Commcrford Martin	kámörford mártin
Commendator	kommendátór
Commendatore	kommándátóre
Commerce	komersz
Commodus	kommódusz
Common Sense	komon szensz
Commons	komonsz
Communicationsnél	komjunikéjsönsznél
Comóban	komóban
Company	kámpöni
Compiégne	kompijeny
Completely Unexpected Productions Limited	kámplítli ánikszpektid prodáksönz limitid
Compostela	komposztellá
Computer	kompjútör
Conakry	kánákri
Conasaugába	konászógába
Conaway	kánövéj
Concilium supra papam	konszílijum szuprá pápám
Concord	konkord
Concorde	konkord
Concordia	konkordija
Condé	kondé
Condillac	kondiják
Condor	kon-dor
Condorcet	kondorszet
Conducator	kondukátor
Coningham	káningem
Connecticut	kánektikát
Connétableja	konetáböl-ja
Conor	kánör
Conrad	konrád
Conradinót	konrádínót
Conseil Supérieur	konszijé szüperijör
Constantin Bratianu	konsztantin brátyánu
Constantini	konsztántíni
Constantinopolis	konsztántinopolisz
Constantinus	konsztantínusz
constantinusi	konsztantínuszi
Constantinusszal	konsztantiusszal
Constantius	konsztantijusz
Constantius Chlorus	konsztantijusz klórusz
Constatinus	konsztantinusz
Constitutio Antoniniana	konsztitócijó ántoninijáná
Constitutio Criminalis	konsztitúció kriminálisz
Constitution	konsztitúsön
Consumer Reports	kánszjúmör riportsz
Conti	konti
Contratación	kontradikszión
Convector	konvektor
Convention	konvensön
Cook	kúk
Copan	kopán
Copeland	kóplend
Copley	kópli
Corap	köráp
Corbin	kórbin
Cordeliers	kordölijé
Cordell	kordell
Cordell Hull	kordel háll
Cordoba	kordoba
Córdoba	kordoba
Córdobá	kordobá
Cordobai	kordobaji
Cordobát	kordobát
cordon sanitaire	kordon szániter
Corey	kori
Corey Lewandowski	kori levándovszki
Corkkal	korkkal
Corleone	korleóne
Cornelia	kornélija
Corneliát	kornéliját
Cornelii	kornelli
Cornelius	kornélijusz
Cornelius Jansenius	kornéliusz janzenikusz
Cornell	kornel
Cornpany	kámpöni
Coromandel	koromendel
Corporation	korporéjsön
Corpus	korpusz
Corregidoron	korridóron
Corriere	korrijere
Cortenuovó	kortenovó
Corum	káröm
Corvinus	korvinusz
Cosmology	kozmolodzsi
Cossack	kószek
Costa	koszta
Costa Scarpucciá	kosztá szkárpuccsá
Cotton	kátön
Couric	körik
Courseulles	korszöl
Courtaulds	kórdóldsz
Courtrai	kórtréj
Coutances	kutansz
Covid	kovid
Coxhoz	kokszhoz
Coxot	kokszot
Coxra	kokszra
CP	szípí
Crace	kréjsz
Craig Silverman	kréjg szilvörmen
Craigg Hogan	kréjg hógen
Cranborne	krenbörn
Cranmer	kránmer
Crassus	krásszusz
Crawford	króford
Creagh	kréj
Credit Mobilier	kredit mobilijé
Crédit Suisse	krédit szvísz
Crerar	krerár
Crescentius	kresz-centijusz
Crespy	kreszpi
CRH 	céerhá
Crimson	krimzsön
Cripple Crcek	kripöl krík
Cripps	krippsz
Crispi	kriszpi
Cristelle	krisztel
Crni	tzrni
Crocker	krákör
Croft	kroft
Croix	kroá
Cromartyig	krometi-ig
Crommelin	kromlin
Cromwell	krómvell
Crookes	krúksz
Crosstime	krosztájm
Crosswell	kroszvel
Croswell	kroszvel
Crow	kró
Crunchies	kráncsíz
Cruz	krúz
Csandragu[p]taként	csandra-guptakár
Csao Kuang	csáó kuáng
Csemegi	csem-egi
Csendes	csendes
Cserny	cserni
Csernyenko	csernyenkó
Csie	csije
Csórich	csórics
CSR	tcéeser
Csunghua Zsenmin Kunghokuo	csungua zsenmin kungokuó
Ctábor	cé tábor
Cthul	kutúl
Cthulhu	kutulu
Cujosi	kujósi
Cultes	kultesz
Cumae	kúmáe
Cumberland	kámbörlend
Cumrum Vafa	kumrum váfá
Cumrun Vafa	kumrum váfá
Cunobelin	kínibellin
Curia	kúrija
Curiája	kúriája
Curie	kürí
Curran	kárön
Curse	kőrsz
Curtis	körtisz
Curzon	kurzon
Custoz	kusztodz
Cutler	kátlör
Cuza	tzúza
Cuzco	kuszkó
Cvetkovic	tcvetkovics
Cyclon	ciklon
Cygnus	cignusz
Cypress	szípressz
Cyrus Vance	tcírusz vánsz
Czanek	cánek
Czartoryskiak	tzartoriszkiak
Czestochowában	cesztohovában
CZI	szízedáj
Czibak Imre	tzibak imre
d’Estaing	deszten
DA	dé-a
Daemones	démonesz
Daemonolatreia Remigiustól	démonolátrejja remigiusztól
Daidalosznak	dajdalosznak
Daikos	dájkosz
Daily Callert	déjli kállört
Daily Telegraph	déjli telegráf
Daimler	dájmler
Dakar	da-kar
Dakota	dak-ota
Daladier	delágyijé
Dalarhyde	dálörhájd
Dalforsas	dálfórszász
Dali	fáli
Dallas	dállász
Dallasban	dallaszban
Dalrymple Henderson	delrámpöl henderszon
Dalton	dálton
Damascius	damaszkiusz
Damaszkusz	danasz-kusz
Damian Collins	démijen kolinsz
Damjanich	damjanics
Damogran	dámórgán
Damon	démon
Damophilosz	dámo-fílosz
Dampier	dámpijé
Danforth	dánfort
Danfortht	dánfort
Dangabrad Béta	dángábár béta
Daniel	denijel
Daniel Freedman	deniel frídmen
Danielson	denijelszon
Danilo	dániló
Danmark	dánmárk
Danny Hertz	deni hertc
Dante	dán-te
Dantec	dán-te
Danzig	dántcig
Darlan	dárlán
Darmstadt	dárm-státt
Darwin	dárvin
Dasher	deshör
Dasko	dáskó
Dasseli Rajnáld	Dásszeli rájnáld
Datisz	dátisz
Datsunja	dátszun-ja
Dauphin	dofen
Dave Goldberg	dév gold-berg
Dave Willner	dév vilnör
David	dévid
David Bowie	déjvid bóvi
David Cameron	dévid kemeron
David Dreyert	dévid drejert
David Kirkpatrick	dévid körkpetrik
David Lloyd George	déjvid lojd dzsordzs
David Ricardo	déjvid rikárdó
David Vladeck	dévid vládek
Davies	déjvisz
Daviesszel	déjvisszel
Davis	déjvisz
Davos	dávosz
Davosba	dávoszba
Dawes	dóz
Dawkins	dókinsz
DB-DZ-DLS	débé dézé déeles
De imitatione Christi	de imitácijóne kriszti
Deakin	díkin
Deal	díl
Deal-Ramsgate	díl remszgéjt
Dealre	dílre
Dean Baquet	dín báket
Deannek	dínnek
Dearbornban	dírbórnban
Debate Between William Lane Craig	dibéjt bitvín vilijem léjn kréjg
Debbie Wasserman Schultz	debi vásszermán shultc
Deborah Harryé	debóra herrijé
Debre-Taborban	debre táborban
Debussy	döbüsszi
Décazes	dékáz
Decca	dekka
Decebal	detcebál
Decimus	detcimusz
Decimus Brutus	detcimusz brútusz
Decimus Junius Brutus Albinus	detcimusz júniusz brútusz álbinusz
Decius	detziusz
Dedeagapál	dedeacsnál
Deeg	díg
Deep Blue	díp blú
Défence	défensz
Defensor	defenszor
Defensor Ecclesiae	defenzor eklezsijé
defensor plebis	defenzor plebisz
Definers	difájnörz
Defoe	düfó
Dehillerin	díhilörin
Dekanoszov	dekánoszov
Dekelea	dekelejá
Delano	delánó
Delano Roosevelt	delánó rózevelt
Delaware	deláver
Delcassé	delkászé
Delhi	del-hi
Della Robbia	dellá róbijá
Delta	delta
Dembinski	dembinszki
Demerol	deme-rol
Demoiseaux	demoázó
Demokrata	demokrata
Dendre	dendrö
Denis	denisz
Denis Diderot	denisz didró
Denison Avenue	deniszön evnyú
Dennis Walsh	denisz volsh
Dentine	den-tin
Dentrassi	dentrásszi
Der Stürmer	der strűmer
Dera	de-ra
Derby Pickman Alapítvány	derbi pikmen alapítvány
Derek Franzese Zuckerberg	derek frántcéze tcukker-berg
Derleth	derlet
Déroulede	deruled
Derű	derű
Descartes	dékárt
Desdemonái	dezdemónáji
Deseretnek	dezertnek
Desert	dezört
Desiato	deszijátó
Desiató	deszijátó
Desideriust	dezidérijuszt
Desmond	dezmond
Desmond Morton	dezmond morton
Desmoulins	démulan
Dessewffy	dezsőfi
Destiny	desztöni
Detroit	ditrojit
Deus	deusz
Deus lo volt	deusz lo volt
Deutch	dójcs
Devereux	devrő
Devers	devörsz
Devon	de-von
Devonshire	devonsír
Devvar	gjú-ár
Dewar	djúár
Dhanvantari	dánvántári
Dharma	dar-ma
Dialisnak	dijálisznak
Dialogus	dijágólusz
Diana	dijána
Diane	diján
Diaz	diáz
Díaz	dijáz
Dick Durbin	dikk dörbin
Dicke	dikk
Dickens	dikensz
Dictatus Papae	diktátusz pápé
Diderot	didró
Dido	dídó
Diemnek	dímnek
Dien Bien	dijen bijen
Dieppe	gyijep
Diet Coke	dájet kók
Dieter	díter
Dieu	gyijő
Diggestnek	dáj-dzsetnek
Digital Democracy	didzsitöl demokrászi
Dijon	dizson
Dijon Drumgo	dizson drámgó
Dijonon	dizsonon
Dijontól	dizsontól
Diliny	dilöni
Dill	dill
Dimitrov	dimit-rov
Dina	dína
Dinant	dinánt
Dinasztia	dinasztija
Dinh Diem	dín dijem
Diocles	dijoklész
Diocletianus	dijokletcijánusz
Diogenész	dijogenész
Dionae	dijóne
Dionah	di-noá
Dionysius Exiguus	dijonűsziusz ekszigúsz
Diószegher Oeconomie	diószeger ökonomi
Dipayan Ghosh	dipáján gós
Diploma	dip-loma
Diploma Leopoldinum	diploma leopoldium
Dirac	dirák
Dirr Durr	dirr-dúr
Discover Magazine	diszkáver mágázín
Disney	dizni
Disney 	dizni
Disraeli	dizráeli
Disrupt	diszrápt
Ditchleyben	dicsliben
Diuban	győben
divide et impera	divíde et impérá
Divus	díviusz
divus Iulius	dívusz júliusz
Divus Julius	díviusz júliusz
Divya	divjá
DJ	dídzséj
D-nap	dénap
DNC	díenszí
DNFF	dé-en-eff-eff
DNS	déenes
Dobbs Ferry	dobbsz ferri
Documents	dákjumentsz
Dodekáneszosz	dodekáneszosz
Dodge	dódzs
Dodgson	dádzs-szon
Doemling	dőmling
Dolarhyde	dálörhájd
Dolarhyde Trevane	dálörhájd trivéjn
Dolichenus	dolikenusz
Dollfuss	dolfusz
Dolog	dolog
Dolores	dolórez
Dolores Ibarruri	dolóresz ibárruri
Domarus	domárusz
Domenique Guzmán	dom-inik guzmán
Domesday Book	dúmszdéj búk
Domingue	dománg
Dominic Crossan	dominik krosszán
Dominica	dominika
Domitianus	domitcijánusz
Domrémy	domremi
Donahue	donák-hjú
Donald	donáld
Donald Brownlee	donáld bráunlí
